,QUANTITY,CUMULATIVE QUANTITY
Price Interval,No. of Bids,Confirmed,Yet to be confirmed,Total,Confirmed,Yet to be confirmed,Total
685.00,405,"63,35,249",,"63,35,249","1,41,03,855","2,42,348","1,43,46,203"
685.05,32,"2,44,650",,"2,44,650","77,68,606","2,42,348","80,10,954"
685.10,91,"1,08,810",,"1,08,810","75,23,956","2,42,348","77,66,304"
685.15,8,"6,700",,"6,700","74,15,146","2,42,348","76,57,494"
685.20,2,"1,345",,"1,345","74,08,446","2,42,348","76,50,794"
685.25,5,"28,900",,"28,900","74,07,101","2,42,348","76,49,449"
685.30,1,292,,292,"73,78,201","2,42,348","76,20,549"
685.35,2,"7,000",,"7,000","73,77,909","2,42,348","76,20,257"
685.45,2,"73,001",,"73,001","73,70,909","2,42,348","76,13,257"
685.50,18,"2,64,388",,"2,64,388","72,97,908","2,42,348","75,40,256"
685.55,3,"6,300",,"6,300","70,33,520","2,42,348","72,75,868"
685.60,1,"1,225",,"1,225","70,27,220","2,42,348","72,69,568"
685.65,10,"69,200",,"69,200","70,25,995","2,42,348","72,68,343"
685.75,1,"20,000",,"20,000","69,56,795","2,42,348","71,99,143"
685.90,1,424,,424,"69,36,795","2,42,348","71,79,143"
686.00,95,"1,09,421",,"1,09,421","69,36,371","2,42,348","71,78,719"
686.05,4,"4,825",,"4,825","68,26,950","2,42,348","70,69,298"
686.10,7,"1,56,700",,"1,56,700","68,22,125","2,42,348","70,64,473"
686.15,3,"4,534",,"4,534","66,65,425","2,42,348","69,07,773"
686.20,1,300,,300,"66,60,891","2,42,348","69,03,239"
686.25,2,"2,600",,"2,600","66,60,591","2,42,348","69,02,939"
686.30,1,300,,300,"66,57,991","2,42,348","69,00,339"
686.50,1,"2,000",,"2,000","66,57,691","2,42,348","69,00,039"
686.55,1,"5,000",,"5,000","66,55,691","2,42,348","68,98,039"
686.70,1,"2,000",,"2,000","66,50,691","2,42,348","68,93,039"
687.00,24,"45,039",,"45,039","66,48,691","2,42,348","68,91,039"
687.05,4,"21,490",,"21,490","66,03,652","2,42,348","68,46,000"
687.10,5,"8,600",,"8,600","65,82,162","2,42,348","68,24,510"
687.20,2,"11,350",,"11,350","65,73,562","2,42,348","68,15,910"
687.25,1,292,,292,"65,62,212","2,42,348","68,04,560"
687.30,1,300,,300,"65,61,920","2,42,348","68,04,268"
687.50,1,"1,000",,"1,000","65,61,620","2,42,348","68,03,968"
687.65,3,"2,000",,"2,000","65,60,620","2,42,348","68,02,968"
687.95,4,"8,625",,"8,625","65,58,620","2,42,348","68,00,968"
688.00,13,"28,702",,"28,702","65,49,995","2,42,348","67,92,343"
688.05,3,"1,100",,"1,100","65,21,293","2,42,348","67,63,641"
688.10,7,"5,225",,"5,225","65,20,193","2,42,348","67,62,541"
688.50,4,"3,130",,"3,130","65,14,968","2,42,348","67,57,316"
688.90,2,600,,600,"65,11,838","2,42,348","67,54,186"
689.00,7,"5,27,510",,"5,27,510","65,11,238","2,42,348","67,53,586"
689.10,3,"2,000",,"2,000","59,83,728","2,42,348","62,26,076"
689.25,2,"2,600",,"2,600","59,81,728","2,42,348","62,24,076"
689.35,13,"7,030",,"7,030","59,79,128","2,42,348","62,21,476"
690.00,178,"2,75,229",,"2,75,229","59,72,098","2,42,348","62,14,446"
690.10,6,"4,630",,"4,630","56,96,869","2,42,348","59,39,217"
690.20,3,"1,643",,"1,643","56,92,239","2,42,348","59,34,587"
690.25,1,317,,317,"56,90,596","2,42,348","59,32,944"
690.30,3,"4,600",,"4,600","56,90,279","2,42,348","59,32,627"
690.50,18,"13,550",,"13,550","56,85,679","2,42,348","59,28,027"
690.60,1,"7,000",,"7,000","56,72,129","2,42,348","59,14,477"
690.65,1,"1,200",,"1,200","56,65,129","2,42,348","59,07,477"
690.85,1,300,,300,"56,63,929","2,42,348","59,06,277"
690.90,1,300,,300,"56,63,629","2,42,348","59,05,977"
